,agent_type,scenario,reward,steps,duration,cost,datetime,gpt_version,interaction_num
0,v4,1,6.991999999999999,200,6.002003725369772,0.64201,2024-01-29_22-56-46,,
1,v4,1,152.36,2099,97.88593096733094,11.778669999999998,2024-01-29_23-10-08,,
2,v4,1,332.3180000000001,4699,175.3980638543765,27.17282,2024-01-30_09-10-41,,
3,v4,0,66.64400000000002,3599,168.43487856785455,29.45728000000002,2024-01-30_13-26-37,,
4,v4,1,100.347,1499,44.6694041411082,8.790050000000003,2024-02-16_18-44-15,,
5,hm_old_prompt,0,42.435,2199,40.43953913450241,0.07191,2024-05-10_16-31-50,,35.0
6,hm_old_prompt,1,77.966,1199,23.04102119207382,0.07566,2024-05-10_17-35-16,,18.0
7,react,0,75.866,1099,15.182809027036033,0.04296,2024-05-10_18-06-01,,19.0
8,reflexion,0,74.58500000000001,1099,37.80776465733846,0.1789899999999999,2024-05-11_13-12-41,,18.0
9,react,1,166.77400000000003,2599,43.10646544297536,0.08858,2024-05-11_13-12-09,,43.0
10,hm_old_prompt,2,46.20700000000001,2499,49.6323505282402,0.0764,2024-05-11_13-13-06,,39.0
11,reflexion,1,105.36,1399,50.34125163157781,0.04477,2024-05-11_13-50-51,,26.0
12,react,2,64.546,3199,47.523258022467296,0.04266,2024-05-11_13-55-30,,55.0
13,hm_old_prompt,3,67.114,3499,74.25092462698619,0.07764,2024-05-11_14-02-58,,53.0
14,reflexion,2,27.916,1399,52.704069046179455,0.04413,2024-05-11_14-42-19,,24.0
15,react,3,89.72099999999999,3899,62.90898571809133,0.08606,2024-05-11_14-47-33,,69.0
16,hm_old_prompt,4,38.251000000000005,1499,34.45965995788574,0.07427,2024-05-11_15-20-18,,28.0
17,react,4,40.463000000000015,1599,25.09691535234452,0.08855,2024-05-11_15-50-46,,26.0
18,react,5,40.41399999999999,1399,23.02020676533381,0.08927,2024-05-11_16-16-39,,22.0
19,reflexion,3,45.09800000000001,1899,65.74535305102667,0.04288,2024-05-11_15-36-24,,35.0
20,react,6,60.315,1399,17.7855886499087,0.04377,2024-05-11_16-39-59,,26.0
21,hm_old_prompt,5,88.53999999999999,2599,67.16276044448217,0.07683,2024-05-11_15-55-21,,45.0
22,react,7,27.325000000000003,1099,14.3335670987765,0.04308,2024-05-11_16-58-00,,20.0
23,reflexion,4,38.15100000000001,1499,56.361129864056906,0.09133,2024-05-11_16-42-39,,26.0
24,hm_old_prompt,6,58.207,1599,44.14692023595174,0.07625,2024-05-11_17-05-47,,25.0
25,react,8,51.547,2299,38.67567449808121,0.04437,2024-05-11_17-13-19,,36.0
26,hm_old_prompt,7,24.241,1099,23.256996858119965,0.07405,2024-05-11_17-50-34,,17.0
27,hm_old_prompt,8,37.327000000000005,1099,28.082727869351704,0.07065,2024-05-11_18-13-57,,19.0
28,reflexion,5,87.13300000000001,3199,126.52390173276264,0.04282,2024-05-11_17-39-26,,54.0
29,reflexion,6,86.63299999999997,2699,92.51020352840423,0.04426,2024-05-11_19-46-18,,47.0
30,reflexion,7,45.55499999999999,2099,69.77783512671789,0.04165,2024-05-11_21-18-59,,35.0
31,reflexion,8,55.32900000000002,2399,84.10939571062724,0.04486,2024-05-11_22-31-28,,43.0
32,react,9,72.86,2299,37.50896861155828,15.19494,2024-05-13_17-31-43,,40.0
33,reflexion,9,32.819,1199,50.62553015947342,12.973939999999995,2024-05-13_17-31-09,,19.0
34,hm_old_prompt,9,62.919,1899,47.975805791219074,15.634420000000002,2024-05-13_19-05-30,,33.0
35,hm_old_prompt,5,60.048,1399,33.04082083304723,8.862200000000001,2024-05-17_23-33-38,,25.0
36,hm_old_prompt,5,44.42400000000001,1199,32.53635947306951,10.044360000000012,2024-05-18_12-55-05,,19.0
37,hm_old_prompt,5,57.346,1499,33.44386945565542,12.21545,2024-05-18_13-46-07,,26.0
38,hm_old_prompt,5,47.545,1199,26.11540913184484,9.453989999999996,2024-05-18_14-13-58,,20.0
39,react,5,37.819,1199,14.310673634211222,6.235010000000001,2024-05-18_14-38-15,,19.0
40,hm_old_prompt,5,50.60300000000001,1499,14.75757714509964,6.32109000000001,2024-05-18_16-24-32,,22.0
41,reflexion,5,121.02700000000002,4499,126.87156473795572,42.44147999999998,2024-05-18_14-58-19,,78.0
42,hm_old_prompt,0,2.893,1099,3.468451178073883,0.5309400000000001,2024-05-19_22-31-59,,1.0
43,react,0,53.52,2199,26.900947229067484,11.71672,2024-05-19_22-32-19,,42.0
44,react,1,127.68900000000002,1999,29.49518603086472,13.369079999999997,2024-05-19_22-59-20,,30.0
45,hm_old_prompt,1,218.48800000000003,3199,71.80244695742925,22.383370000000014,2024-05-19_22-35-30,,54.0
46,reflexion,0,38.70400000000001,2199,76.04177402257919,21.01421,2024-05-19_22-32-38,,36.0
47,react,2,44.48199999999999,2299,34.37086511452993,15.423920000000004,2024-05-19_23-28-59,,38.0
48,react,3,52.923,1899,23.77625257174174,9.460600000000005,2024-05-20_00-03-30,,31.0
49,hm_old_prompt,2,44.05600000000001,2199,50.11379330952962,14.171070000000006,2024-05-19_23-47-28,,37.0
50,react,4,33.61600000000001,1499,22.377670872211457,8.800799999999999,2024-05-20_00-27-24,,23.0
51,reflexion,1,162.003,2199,74.46787660121917,19.337040000000005,2024-05-19_23-48-51,,39.0
52,react,6,57.085,1699,22.93794068892797,9.412030000000003,2024-05-20_00-49-53,,28.0
53,hm_old_prompt,3,30.64700000000001,1399,36.077744940916695,10.327120000000004,2024-05-20_00-37-46,,24.0
54,react,7,32.147000000000006,1399,16.118284384409588,6.067000000000003,2024-05-20_01-12-55,,24.0
55,hm_old_prompt,4,32.215,1399,34.89726600249608,8.672649999999997,2024-05-20_08-51-49,,23.0
56,hm_old_prompt,6,40.735,1099,50.69463253418605,8.407269999999999,2024-05-20_09-26-48,,19.0
57,cooperate,5,76.83900000000003,1499,24.46551616191864,8.915860000000002,2024-05-20_10-55-45,,27.0
58,hm,5,82.68199999999999,1899,79.46558171113332,19.3513,2024-05-20_10-17-18,,35.0
59,reflexion,5,37.62600000000001,1299,53.77509827613831,11.80247999999999,2024-05-20_11-18-55,,21.0
60,hm,0,34.232000000000006,1799,49.636715630690254,12.835209999999998,2024-05-20_12-34-12,,31.0
61,hm,1,171.76999999999998,2599,70.30293377637864,19.46811000000001,2024-05-20_13-23-56,,44.0
62,hm,2,20.144,1199,31.238693459828696,7.90232,2024-05-20_14-34-25,,21.0
63,hm,3,43.66199999999999,1299,62.80096227327983,9.79908,2024-05-20_15-05-45,,21.0
64,hm,9,92.81499999999998,2699,78.57898420492808,26.416210000000003,2024-05-20_14-59-00,,45.0
65,hm,8,50.463,1499,41.42844009796779,13.08008,2024-05-20_16-37-47,,26.0
66,hm,4,49.478000000000016,2499,122.94709111452104,19.58442000000001,2024-05-20_16-08-41,,40.0
67,hm,6,50.32,1299,35.02229632933935,12.084339999999996,2024-05-20_18-11-51,,21.0
68,hm,7,28.961,1599,41.5127986907959,13.51203,2024-05-20_18-32-55,,26.0
69,hm,7,18.741000000000003,1099,29.509199571609496,8.845090000000003,2024-05-20_18-46-57,,18.0
70,hm,8,111.372,3199,93.94807347456614,31.50942000000001,2024-05-20_19-16-32,,57.0
71,react,0,82.57399999999998,1399,21.81585665543874,9.11796,2024-05-20_20-37-00,,20.0
72,react,0,51.616,2599,31.901801856358848,13.888439999999994,2024-05-20_20-58-56,,46.0
73,hm,9,53.35499999999999,1499,41.12618395090103,13.136250000000008,2024-05-20_20-50-40,,27.0
74,reflexion,0,40.03400000000001,1999,67.53888124227524,17.881759999999996,2024-05-20_20-37-12,,35.0
75,react_invalid,0,146.072,1999,28.295874285697938,11.009370000000004,2024-05-20_21-31-02,,36.0
76,reflexion,0,65.733,1099,36.10304948488872,8.651069999999995,2024-05-20_21-44-53,,16.0
77,reflexion,0,36.23000000000001,1799,54.79854607582092,13.314760000000003,2024-05-20_22-21-07,,31.0
78,react,1,297.48099999999994,4799,84.85175062815348,36.13649,2024-05-20_21-59-31,,71.0
79,react,1,146.94,2199,36.49693677425385,14.597530000000004,2024-05-20_23-24-44,,35.0
80,hm,0,30.584,1799,211.61245102087656,13.376739999999996,2024-05-20_20-37-53,,30.0
81,react,1,78.347,1199,17.13656941254934,6.194559999999998,2024-05-21_00-01-22,,19.0
82,hm,0,15.815,1099,30.5329385360082,8.302310000000002,2024-05-20_23-52-07,,17.0
83,reflexion,1,151.06099999999998,2199,77.68784625927607,18.33392,2024-05-20_23-16-02,,39.0
84,hm,1,76.68800000000002,1199,29.620971449216206,7.590180000000006,2024-05-21_00-09-37,,20.0
85,react,2,55.90699999999998,2799,40.48988705078761,15.956979999999994,2024-05-21_00-18-36,,49.0
86,hm,0,62.422,1099,32.0185581723849,8.710790000000001,2024-05-21_00-38-46,,16.0
87,hm,2,41.086000000000006,2199,53.40108505487442,13.228930000000004,2024-05-21_00-39-18,,38.0
88,react,2,49.615000000000016,2499,40.97102324565252,16.07375000000001,2024-05-21_00-59-16,,43.0
89,hm,0,31.980000000000008,1799,46.7167555530866,12.38828000000001,2024-05-21_01-10-53,,30.0
90,react,2,45.369,2199,37.84137807687124,14.333360000000011,2024-05-21_01-40-22,,38.0
91,reflexion,1,242.86300000000003,3199,121.17628394762674,29.178570000000004,2024-05-21_00-33-53,,59.0
92,hm,1,99.169,1599,45.65872619549433,12.20898,2024-05-21_01-57-42,,25.0
93,react,3,81.482,3499,55.12268490791321,22.17290000000001,2024-05-21_02-18-20,,60.0
94,react,3,87.36000000000003,3999,60.22698706785838,25.28433,2024-05-21_03-13-40,,68.0
95,react,3,28.417,1099,15.983810953299203,5.929530000000002,2024-05-21_04-14-12,,17.0
96,react,4,40.360000000000014,1499,21.58380337556203,8.552579999999999,2024-05-21_04-30-16,,27.0
97,hm,1,355.7620000000003,5000,132.24688091278077,39.69121999999997,2024-05-21_02-43-30,,88.0
98,reflexion,1,293.539,4199,156.95723175207775,40.01741999999998,2024-05-21_02-35-19,,73.0
99,react,4,59.998,2599,40.8585462808609,16.350019999999997,2024-05-21_04-51-59,,44.0
100,hm,1,152.94799999999998,2199,54.0385593811671,14.619410000000007,2024-05-21_04-56-08,,38.0
101,react,4,51.593,1699,24.3472645521164,9.508700000000005,2024-05-21_05-33-00,,31.0
102,react,5,39.77000000000002,1299,20.884613879521687,7.702780000000001,2024-05-21_05-57-27,,23.0
103,hm,1,73.843,1199,33.21257155736287,8.60326,2024-05-21_05-50-18,,19.0
104,react,5,45.72000000000001,1599,22.86492538054784,8.243930000000002,2024-05-21_06-18-25,,27.0
105,hm,2,24.095,1299,37.1537479241689,8.819930000000001,2024-05-21_06-23-37,,23.0
106,react,5,62.11600000000001,2099,36.142111273606616,12.87425,2024-05-21_06-41-22,,37.0
107,hm,2,21.765,1199,34.74445364872614,7.817150000000001,2024-05-21_07-00-51,,21.0
108,react,6,40.169,1299,19.130829302469888,6.802770000000001,2024-05-21_07-17-38,,22.0
109,reflexion,2,97.25,5000,188.0493363459905,46.52403999999997,2024-05-21_05-12-31,,85.0
110,react,6,93.12099999999997,2999,51.55454980929692,18.92411999999999,2024-05-21_07-36-51,,51.0
111,react,6,121.81099999999996,3399,53.66940339008967,20.86474000000001,2024-05-21_08-28-35,,58.0
112,hm,4,26.385,1099,33.233549404144284,7.797140000000001,2024-05-21_08-49-11,,16.0
113,reflexion,8,26.048,1099,36.6241949001948,7.775649999999998,2024-05-21_08-56-50,,19.0
114,reflexion,2,41.988000000000014,2099,77.31701412200928,16.77106,2024-05-21_08-20-54,,36.0
115,hm,7,27.099000000000004,1599,47.7333417614301,11.55943,2024-05-21_08-51-02,,26.0
116,hm,3,41.40900000000002,1999,57.50667787790299,13.69546,2024-05-21_08-49-50,,37.0
117,hm,6,69.273,1799,63.78341685930888,18.55778,2024-05-21_08-50-44,,31.0
118,react,7,59.07999999999999,2499,36.00367212295532,14.314989999999996,2024-05-21_09-22-32,,45.0
119,reflexion,3,34.14,1399,65.46163661082586,14.15667,2024-05-21_08-54-54,,22.0
120,reflexion,4,39.04400000000001,1799,66.50840705633163,15.36268,2024-05-21_08-55-21,,31.0
121,hm,4,32.097,1299,41.49491267204285,10.444309999999998,2024-05-21_09-22-34,,22.0
122,reflexion,6,48.713,1499,70.29168523947398,15.875349999999996,2024-05-21_08-56-01,,25.0
123,reflexion,8,31.946,1199,40.64303435881933,8.754270000000002,2024-05-21_09-33-33,,21.0
124,react,7,30.619,1399,20.36146611372629,7.177209999999998,2024-05-21_09-58-41,,24.0
125,reflexion,5,65.509,2299,97.16145245234172,22.819950000000027,2024-05-21_08-55-40,,40.0
126,hm,5,146.392,3499,112.10101936658224,33.384720000000044,2024-05-21_08-50-20,,62.0
127,reflexion,2,46.053,2599,111.62922064463298,25.94022,2024-05-21_08-53-41,,43.0
128,reflexion,2,31.69800000000001,1699,67.51888392766317,15.170120000000002,2024-05-21_09-38-21,,28.0
129,react,7,37.55500000000001,1499,26.898719684282938,9.002580000000002,2024-05-21_10-19-08,,27.0
130,hm,3,37.163,1899,58.99123089710872,16.12167,2024-05-21_09-47-27,,30.0
131,hm,8,121.92300000000002,3399,119.0848994453748,37.563600000000015,2024-05-21_08-51-29,,59.0
132,reflexion,7,68.20000000000003,3199,117.80825257698694,27.72022000000001,2024-05-21_08-56-32,,55.0
133,hm,7,42.505,2599,75.95738557577133,19.91090999999998,2024-05-21_09-38-56,,45.0
134,reflexion,9,108.107,3399,129.46225460370383,30.02983000000001,2024-05-21_08-57-06,,58.0
135,react,8,33.428999999999995,1399,22.05019797881444,7.76839,2024-05-21_10-46-09,,23.0
136,reflexion,4,39.614,1699,67.55088130633037,15.159540000000009,2024-05-21_10-01-59,,30.0
137,hm,3,21.859000000000005,1099,31.019922649860384,7.660010000000002,2024-05-21_10-46-34,,17.0
138,reflexion,8,52.546000000000014,1999,65.59411046504974,14.750090000000004,2024-05-21_10-14-16,,37.0
139,react,8,31.453000000000003,1099,22.8988097469012,6.194030000000002,2024-05-21_11-08-17,,20.0
140,hm,7,28.053000000000004,1499,45.03676734765371,10.485520000000008,2024-05-21_10-55-08,,24.0
141,reflexion,2,21.286,1299,54.92984929084778,11.68465,2024-05-21_10-45-28,,21.0
142,hm,3,41.904,1099,35.51737531026205,7.805380000000002,2024-05-21_11-17-39,,20.0
143,hm,6,117.097,3599,119.5096151828766,36.16556000000002,2024-05-21_09-54-39,,58.0
144,reflexion,5,71.81200000000001,2399,89.32604347070058,19.52141,2024-05-21_10-32-57,,38.0
145,react,8,47.033,1999,31.67467447121938,10.997820000000004,2024-05-21_11-31-19,,33.0
146,reflexion,9,45.327000000000005,1599,65.132191212972,13.202989999999998,2024-05-21_11-06-51,,25.0
147,hm,4,28.629000000000005,1299,35.88370428085327,8.294450000000001,2024-05-21_11-46-25,,20.0
148,reflexion,6,118.113,3699,143.9286366422971,33.826740000000015,2024-05-21_10-06-27,,65.0
149,hm,5,130.438,3099,109.94362632830938,32.73876999999998,2024-05-21_10-42-41,,54.0
150,react,8,59.587,2199,40.17718969980876,13.05609,2024-05-21_12-48-02,,40.0
151,hm,4,33.089,1299,43.23708496491114,9.09293,2024-05-21_12-50-23,,22.0
152,reflexion,8,38.687000000000005,1299,47.16292682886124,9.495600000000003,2024-05-21_12-53-12,,24.0
153,hm,8,54.93,1399,53.71331913471222,12.745830000000012,2024-05-21_12-51-09,,25.0
154,hm,9,77.543,1799,60.04791088898977,14.07026000000001,2024-05-21_12-51-15,,31.0
155,reflexion,6,58.08,1399,64.92187014023463,12.735409999999996,2024-05-21_12-52-46,,23.0
156,hm,2,46.27600000000001,2399,68.28053485949835,14.912190000000006,2024-05-21_12-50-05,,41.0
157,react,9,61.629000000000005,1899,33.772988363107046,11.665919999999998,2024-05-21_13-28-19,,35.0
158,hm,6,82.86900000000001,1999,76.94402542114258,20.39112,2024-05-21_12-50-51,,34.0
159,reflexion,7,42.28800000000001,1999,87.4704733967781,17.55635000000001,2024-05-21_12-52-57,,34.0
160,reflexion,4,77.115,2599,103.81276232004166,21.51171000000001,2024-05-21_12-52-22,,47.0
161,hm,9,56.21500000000001,1499,54.18086203336716,13.279979999999997,2024-05-21_13-51-23,,26.0
162,react,9,101.412,3199,48.73097549676895,17.756450000000008,2024-05-21_14-02-10,,53.0
163,reflexion,9,97.119,2999,118.73303029934566,25.03254,2024-05-21_12-53-21,,51.0
164,reflexion,3,69.115,2899,131.96887003183366,27.23198999999999,2024-05-21_12-51-59,,54.0
165,hm,5,51.44400000000002,1099,30.682257731755573,6.98324,2024-05-21_14-37-57,,19.0
166,reflexion,6,57.12700000000001,1899,78.95949341853459,17.064799999999995,2024-05-21_13-57-45,,30.0
167,reflexion,7,36.30800000000001,1599,59.72926493485769,12.19789,2024-05-21_14-20-31,,29.0
168,reflexion,4,24.373999999999995,1099,45.09789613087972,9.84169,2024-05-21_14-36-18,,17.0
169,react,9,88.77500000000002,2799,40.33669325510661,14.942929999999995,2024-05-21_14-51-03,,52.0
170,hm,6,117.049,2699,92.011749792099,27.295929999999984,2024-05-21_14-07-54,,48.0
171,reflexion,9,27.041,1099,58.01164912382762,12.108719999999996,2024-05-21_14-52-14,,18.0
172,hm,9,72.69299999999998,1899,65.7685981353124,18.776910000000008,2024-05-21_14-45-38,,30.0
173,react,9,32.562,1299,21.08414380947749,6.94422,2024-05-21_15-31-31,,23.0
174,hm,8,79.73,2499,82.04752397934595,23.06465999999997,2024-05-21_14-38-14,,42.0
175,reflexion,7,37.667,2099,84.84564009110133,19.35318,2024-05-21_15-20-19,,33.0
176,planreact,8,43.463,1399,28.365634874502817,9.013409999999997,2024-05-21_21-18-20,,25.0
177,planreact,3,33.60600000000001,1599,29.745329741636912,9.10231,2024-05-21_21-17-02,,27.0
178,planreact,1,94.124,1499,30.46243693033854,9.621960000000003,2024-05-21_21-16-22,,23.0
179,planreact,0,28.109000000000005,1599,31.93320529858272,10.459780000000004,2024-05-21_21-15-37,,28.0
180,planreact,2,36.00100000000001,1899,33.69334069490433,10.4912,2024-05-21_21-16-43,,32.0
181,planreact,5,72.53300000000002,1799,36.30839813947678,11.466430000000004,2024-05-21_21-17-33,,32.0
182,planreact,6,65.21700000000001,1799,38.38631958961487,12.46661,2024-05-21_21-17-46,,31.0
183,planreact,9,73.36299999999999,2299,46.11029804547628,14.035180000000008,2024-05-21_21-18-34,,40.0
184,planreact,7,47.566,2399,47.67733288208644,14.319700000000005,2024-05-21_21-17-57,,41.0
185,planreact,2,21.801,1099,20.99280155499776,5.7255,2024-05-21_21-50-31,,19.0
186,planreact,4,65.938,3199,57.01975495815277,17.613800000000012,2024-05-21_21-17-17,,54.0
187,planreact,8,50.02300000000001,1499,30.37918068567912,9.111310000000003,2024-05-21_21-46-47,,28.0
188,planreact,3,38.43100000000001,1799,31.54190011819204,9.136069999999997,2024-05-21_21-46-52,,30.0
189,planreact,0,32.861999999999995,1699,32.92562270959218,9.25939,2024-05-21_21-47-41,,29.0
190,planreact,1,117.446,1899,38.04705197413762,11.06348,2024-05-21_21-46-55,,29.0
191,planreact,9,50.693000000000005,1499,26.88580294450124,7.850439999999999,2024-05-21_22-04-47,,27.0
192,planreact,7,39.473000000000006,1899,28.58303873538971,8.479659999999999,2024-05-21_22-05-45,,32.0
193,planreact,4,28.846000000000004,1199,23.50164004961649,6.976460000000002,2024-05-21_22-14-27,,21.0
194,planreact,3,23.86500000000001,1199,20.961427036921183,6.37628,2024-05-21_22-18-30,,17.0
195,planreact,6,91.30800000000004,2599,50.51263676484426,16.060880000000004,2024-05-21_21-56-14,,44.0
196,planreact,8,59.692000000000014,1999,36.2566689491272,11.16887,2024-05-21_22-17-14,,34.0
197,planreact,1,108.059,1699,30.221911005179088,8.548360000000002,2024-05-21_22-25-03,,27.0
198,reflexion,3,42.67299999999999,1699,75.38997070391973,16.458629999999992,2024-05-21_21-49-14,,32.0
199,planreact,0,152.205,2199,44.6389899969101,12.868810000000002,2024-05-21_22-20-43,,38.0
200,planreact,2,49.674000000000014,2799,56.6486620426178,17.073920000000008,2024-05-21_22-11-34,,47.0
201,planreact,4,34.261,1299,32.406964766979215,9.672049999999995,2024-05-21_22-38-01,,23.0
202,planreact,6,37.52700000000001,1199,25.799704444408416,7.2039,2024-05-21_22-46-52,,20.0
203,planreact,5,122.47600000000004,3699,80.25232468048732,24.75626,2024-05-21_21-53-57,,62.0
204,planreact,3,40.108,1899,39.074917761484784,10.866270000000002,2024-05-21_22-39-33,,34.0
205,planreact,1,83.177,1199,23.359647977352143,6.473760000000002,2024-05-21_22-55-23,,21.0
206,planreact,9,91.277,2499,48.31744004885356,13.75865,2024-05-21_22-31-45,,45.0
207,planreact,7,56.784000000000006,2899,62.51941088438034,18.67504000000001,2024-05-21_22-34-25,,48.0
208,planreact,3,28.123,1299,25.35463719367981,7.326219999999999,2024-05-21_23-18-43,,23.0
209,hm,5,210.182,4699,147.31961869398754,44.18568999999999,2024-05-21_21-20-09,,83.0
210,planreact,8,80.495,2699,55.44650715986888,16.236700000000006,2024-05-21_22-53-35,,48.0
211,reflexion,3,27.763,1199,47.33382184902827,10.568040000000002,2024-05-21_23-04-43,,19.0
212,planreact,1,106.388,1499,33.907836604118344,10.109349999999996,2024-05-21_23-18-48,,26.0
213,planreact,5,62.57899999999999,1799,41.47364823818207,12.694490000000004,2024-05-21_23-14-22,,29.0
214,planreact,4,57.18699999999998,2399,46.36209828853608,13.66477,2024-05-21_23-10-31,,42.0
215,planreact,7,23.798000000000005,1099,21.74260828097661,6.308949999999999,2024-05-21_23-37-03,,18.0
216,planreact,6,83.77199999999999,2399,49.0642724275589,15.1769,2024-05-21_23-12-44,,38.0
217,planreact,0,55.538000000000025,3199,56.72593896389007,16.438540000000007,2024-05-21_23-05-29,,53.0
218,planreact,7,32.812000000000005,1499,30.958672146002453,8.57841,2024-05-22_00-29-01,,25.0
219,planreact,9,49.149,1599,38.43610678911209,10.37481,2024-05-22_00-29-19,,27.0
220,planreact,8,55.570999999999984,1899,38.80981838703156,10.31919,2024-05-22_00-29-09,,35.0
221,react_invalid,1,114.159,1699,30.587070175011952,10.337289999999996,2024-05-22_00-38-04,,28.0
222,planreact,2,39.23200000000001,1999,42.988454246521,11.61882,2024-05-22_00-27-46,,36.0
223,planreact,6,83.00099999999999,2199,49.510356914997104,13.748980000000005,2024-05-22_00-28-50,,41.0
224,hm_invalid,1,62.06499999999999,1199,43.3239879488945,10.659950000000013,2024-05-22_00-37-37,,19.0
225,planreact,4,60.988,2799,62.9802551984787,16.95166000000001,2024-05-22_00-28-19,,47.0
226,planreact,5,85.16199999999999,2799,63.42235738436381,17.46136000000001,2024-05-22_00-28-34,,50.0
227,planreact,2,23.198,1299,26.645031038920084,7.24716,2024-05-22_01-10-52,,21.0
228,planreact,9,85.628,2499,55.812642300128935,15.083250000000008,2024-05-22_01-07-50,,44.0
229,planreact,5,52.47599999999999,1399,38.86890736818314,9.83204,2024-05-22_01-32-07,,24.0
230,react,0,131.43,1899,34.85911247730255,12.006810000000002,2024-05-22_02-09-57,,31.0
231,planreact,9,81.94900000000001,2399,50.30373170375824,13.00827,2024-05-22_02-03-45,,43.0
232,hm_gpt35,2,16.704,1200,7.2440357327461244,0.9038460000000004,2024-05-22_09-07-32,,16.0
233,hm_gpt35,0,44.923,1200,6.2887628475825,0.7921940000000003,2024-05-22_09-09-13,,11.0
234,hm_gpt35,1,62.18600000000001,1200,7.019074022769928,0.9315240000000002,2024-05-22_09-09-48,,15.0
235,hm_gpt35,2,8.787,1200,7.286318910121918,0.941196,2024-05-22_09-14-50,,10.0
236,hm_gpt35,0,13.071,1200,7.557619035243988,0.9275759999999998,2024-05-22_09-15-35,,15.0
237,hm_gpt35,1,54.66999999999999,1200,7.0003615339597065,0.8727830000000006,2024-05-22_09-16-53,,14.0
238,hm_gpt35,2,13.306,1200,7.021732974052429,0.8385360000000003,2024-05-22_09-22-11,,14.0
239,hm_gpt35,1,62.629000000000005,1200,7.56753343741099,0.9678209999999996,2024-05-22_09-23-57,,16.0
240,hm_gpt35,7,15.382,1200,6.760218866666159,0.8198020000000004,2024-05-22_09-25-56,,12.0
241,hm_gpt35,5,33.799,1200,7.868758896986644,0.997049,2024-05-22_09-25-12,,13.0
242,hm_gpt35,4,20.899,1200,8.36215773820877,1.015469,2024-05-22_09-24-45,,14.0
243,hm_gpt35,6,34.681999999999995,1200,7.634310523668925,0.8538149999999999,2024-05-22_09-25-37,,16.0
244,hm_gpt35,8,18.907,1200,8.093436380227407,0.9902729999999994,2024-05-22_09-26-14,,15.0
245,hm_gpt35,9,23.005,1200,8.289192652702331,1.061834,2024-05-22_09-26-31,,14.0
246,hm_gpt35,7,15.634000000000002,1200,6.807017374038696,0.8370869999999996,2024-05-22_09-32-46,,15.0
247,hm_gpt35,4,20.827,1200,7.127724786599477,0.7797720000000001,2024-05-22_09-33-11,,15.0
248,hm_gpt35,6,30.994,1200,7.386796283721924,0.947392,2024-05-22_09-33-19,,13.0
249,hm_gpt35,8,37.356,1200,7.055571051438649,0.8651480000000001,2024-05-22_09-34-23,,16.0
250,hm_gpt35,5,31.276000000000003,1200,8.614694515864054,1.099463,2024-05-22_09-33-08,,14.0
251,hm_gpt35,9,21.801,1200,7.371522080898285,0.957014,2024-05-22_09-34-52,,15.0
252,hm_gpt35,7,18.944000000000003,1200,7.630428997675578,0.9440130000000008,2024-05-22_09-39-37,,16.0
253,hm_gpt35,6,34.155,1200,7.005392118295034,0.8622579999999995,2024-05-22_09-40-46,,14.0
254,hm_gpt35,4,21.281,1200,7.549330524603525,0.9028450000000005,2024-05-22_09-40-23,,17.0
255,hm_gpt35,8,22.437,1200,7.5728888511657715,0.9581339999999998,2024-05-22_09-41-30,,16.0
256,hm_gpt35,5,21.837000000000003,1200,7.33902192513148,0.932168,2024-05-22_09-41-49,,12.0
257,hm_gpt35,9,19.453000000000003,1200,8.217712569236756,1.081726999999999,2024-05-22_09-42-17,,15.0
258,hm,0,136.188,2149,nan,nan,2024-05-22_02-09-47,,37.0
